若年	じゃくねん
並行	へいこう
体裁	ていさい
入幕	にゅうまく
半値	はんね
地蔵	じぞう
家系	かけい
密約	みつやく
専従	せんじゅう
少将	しょうしょう
散骨	さんこつ
日誌	にっし
流派	りゅうは
激減	げきげん
灰皿	はいざら
無策	むさく
独創	どくそう
疑義	ぎぎ
盟友	めいゆう
神聖	しんせい
簡潔	かんけつ
絶頂	ぜっちょう
腹心	ふくしん
誤差	ごさ
誤認	ごにん
退社	たいしゃ
鉄棒	てつぼう
降板	こうばん
除草	じょそう
一派	いっぱ
下値	したね
中腹	ちゅうふく
入党	にゅうとう
内幕	うちまく
危害	きがい
収量	しゅうりょう
同窓	どうそう
否認	ひにん
圧巻	あっかん
夕刻	ゆうこく
奏功	そうこう
存亡	そんぼう
寸法	すんぽう
悲痛	ひつう
戦域	せんいき
敬老	けいろう
新装	しんそう
机上	きじょう
武将	ぶしょう
深層	しんそう
減退	げんたい
温存	おんぞん
照射	しょうしゃ
熟練	じゅくれん
看病	かんびょう
磁場	じば
簡略	かんりゃく
紅潮	こうちょう
編著	へんちょ
翌月	よくげつ
胸部	きょうぶ
英訳	えいやく
補足	ほそく
遺作	いさく
開閉	かいへい
黒潮	くろしお
乗降	じょうこう
住専	じゅうせん
勤続	きんぞく
卵巣	らんそう
同郷	どうきょう
名優	めいゆう
善戦	ぜんせん
宣戦	せんせん
密林	みつりん
寸断	すんだん
山系	さんけい
席巻	せっけん
幼少	ようしょう
幼虫	ようちゅう
復刻	ふっこく
投降	とうこう
散策	さんさく
来訪	らいほう
果樹	かじゅ
正論	せいろん
決裁	けっさい
点訳	てんやく
片側	かたがわ
版権	はんけん
特段	とくだん
疑心	ぎしん
白骨	はっこつ
看過	かんか
石灰	せっかい
秘話	ひわ
納金	のうきん
純金	じゅんきん
絵巻	えまき
背信	はいしん
背骨	せぼね
自我	じが
装着	そうちゃく
語源	ごげん
降雪	こうせつ
黒幕	くろまく
傷口	きずぐち
兄貴	あにき
出納	すいとう
別冊	べっさつ
収縮	しゅうしゅく
合奏	がっそう
存立	そんりつ
容姿	ようし
専売	せんばい
就航	しゅうこう
底値	そこね
探求	たんきゅう
政敵	せいてき
敵意	てきい
星座	せいざ
残存	ざんぞん
無傷	むきず
無論	むろん
盟主	めいしゅ
私見	しけん
私語	しご
純度	じゅんど
縦断	じゅうだん
胃腸	いちょう
胸中	きょうちゅう
裏口	うらぐち
観劇	かんげき
論外	ろんがい
退団	たいだん
遊覧	ゆうらん
重層	じゅうそう
降格	こうかく
首班	しゅはん
下層	かそう
乱射	らんしゃ
乱戦	らんせん
京劇	きょうげき
公党	こうとう
切除	せつじょ
別巻	べっかん
前段	ぜんだん
台座	だいざ
女将	おかみ
宝刀	ほうとう
専制	せんせい
憲兵	けんぺい
戦乱	せんらん
早晩	そうばん
望郷	ぼうきょう
格納	かくのう
激務	げきむ
独善	どくぜん
班長	はんちょう
異種	いしゅ
直腸	ちょくちょう
私物	しぶつ
私財	しざい
純愛	じゅんあい
純白	じゅんぱく
臨戦	りんせん
至急	しきゅう
草創	そうそう
表層	ひょうそう
裏山	うらやま
補習	ほしゅう
観覧	かんらん
認否	にんぴ
誠心	せいしん
論法	ろんぽう
退潮	たいちょう
降下	こうか
障子	しょうじ
電磁	でんじ
高専	こうせん
高座	こうざ
中段	ちゅうだん
乱入	らんにゅう
乳牛	にゅうぎゅう
光源	こうげん
党人	とうじん
刻印	こくいん
厳選	げんせん
吸引	きゅういん
増派	ぞうは
外装	がいそう
天敵	てんてき
宿敵	しゅくてき
巻頭	かんとう
帰郷	ききょう
従属	じゅうぞく
忠告	ちゅうこく
忠義	ちゅうぎ
探究	たんきゅう
救難	きゅうなん
染料	せんりょう
潮時	しおどき
片足	かたあし
物納	ぶつのう
異存	いぞん
痛切	つうせつ
窓際	まどぎわ
紅海	こうかい
結納	ゆいのう
装束	しょうぞく
解党	かいとう
誌面	しめん
金券	きんけん
針路	しんろ
針金	はりがね
並列	へいれつ
仁義	じんぎ
便秘	べんぴ
初段	しょだん
善処	ぜんしょ
善良	ぜんりょう
密教	みっきょう
密閉	みっぺい
山腹	さんぷく
幼女	ようじょ
当否	とうひ
思潮	しちょう
敬語	けいご
本尊	ほんぞん
本筋	ほんすじ
模写	もしゃ
死傷	ししょう
災難	さいなん
発奮	はっぷん
皇子	おうじ
短冊	たんざく
空腹	くうふく
簡便	かんべん
縮図	しゅくず
老若	ろうにゃく
職域	しょくいき
胸元	むなもと
脳性	のうせい
自供	じきょう
裏書	うらがき
裏表	うらおもて
誌上	しじょう
財宝	ざいほう
追認	ついにん
鋼管	こうかん
鋼鉄	こうてつ
一片	いっぺん
上段	じょうだん
仮装	かそう
処方	しょほう
割増	わりまし
卵黄	らんおう
収蔵	しゅうぞう
名著	めいちょ
変異	へんい
小党	しょうとう
延焼	えんしょう
承服	しょうふく
水洗	すいせん
洗面	せんめん
激痛	げきつう
無欲	むよく
熟成	じゅくせい
痛快	つうかい
盛期	せいき
盟約	めいやく
相棒	あいぼう
砂子	すなご
私費	しひ
秘境	ひきょう
筋道	すじみち
糖分	とうぶん
紅色	べにいろ
終幕	しゅうまく
聖母	せいぼ
著述	ちょじゅつ
誤報	ごほう
賃借	ちんしゃく
車窓	しゃそう
閉山	へいざん
